generation,rule,min,avg,max,neighbour,ca_size
0,23,10,13.6,17,3,8
0,150,15,29.2,71,3,8
0,2,8,9.0,10,3,8
0,183,9,9.8,10,3,8
0,54,11,12.4,16,3,8
0,210,9,16.0,25,3,8
0,137,9,9.4,10,3,8
0,72,9,9.6,10,3,8
0,175,8,9.0,10,3,8
0,212,9,35.0,67,3,8
0,21,9,9.4,10,3,8
0,15,8,9.6,11,3,8
0,244,9,9.6,10,3,8
0,4,9,9.2,10,3,8
0,109,9,9.8,11,3,8
0,110,9,12.0,19,3,8
0,132,8,9.4,10,3,8
0,130,8,8.8,9,3,8
0,178,8,13.6,27,3,8
0,54,9,14.4,25,3,8
1,150,9,22.8,41,3,8
1,150,9,16.6,28,3,8
1,196,11,37.6,99,3,8
1,150,16,29.8,52,3,8
1,148,8,11.2,21,3,8
1,22,8,9.4,10,3,8
1,214,9,9.4,10,3,8
1,54,11,12.6,15,3,8
1,150,9,19.2,38,3,8
1,150,12,23.8,42,3,8
1,54,8,9.4,11,3,8
1,87,9,9.2,10,3,8
1,62,8,9.2,10,3,8
1,54,8,9.2,11,3,8
1,52,9,9.6,10,3,8
1,54,11,13.8,17,3,8
1,55,11,16.2,24,3,8
1,54,10,11.2,12,3,8
1,54,8,12.4,19,3,8
1,190,9,9.6,11,3,8
2,150,9,14.6,28,3,8
2,199,9,9.6,10,3,8
2,150,10,25.6,40,3,8
2,150,9,36.4,57,3,8
2,146,11,16.4,26,3,8
2,150,9,19.4,34,3,8
2,86,10,14.2,23,3,8
2,151,8,9.2,10,3,8
2,131,8,9.0,10,3,8
2,146,10,14.0,22,3,8
2,150,15,24.2,36,3,8
2,158,12,19.8,27,3,8
2,150,13,23.6,43,3,8
2,150,15,23.8,34,3,8
2,151,9,9.4,10,3,8
2,150,15,28.0,38,3,8
2,22,8,9.0,10,3,8
2,148,9,11.2,13,3,8
2,150,9,30.0,73,3,8
2,150,8,18.6,32,3,8
3,150,10,25.8,48,3,8
3,154,8,10.6,13,3,8
3,150,9,24.6,63,3,8
3,214,8,11.0,16,3,8
3,150,9,27.4,40,3,8
3,150,14,26.6,44,3,8
3,158,10,15.2,24,3,8
3,214,8,9.2,10,3,8
3,214,8,9.4,11,3,8
3,214,9,9.2,10,3,8
3,150,9,25.0,73,3,8
3,31,9,9.4,10,3,8
3,150,9,15.6,31,3,8
3,148,9,10.8,15,3,8
3,166,8,10.4,12,3,8
3,179,9,9.6,10,3,8
3,134,10,14.8,23,3,8
3,150,9,18.8,30,3,8
3,134,10,18.2,39,3,8
3,150,11,34.2,87,3,8
