model,generation,rule,min,avg,max,neighbour,ca_size,time
1DCA,0,18290559,129,171.4,324,5,20,3.203624106001371
1DCA,0,2523490710,25,49.4,78,5,20,0.9208212410012493
1DCA,0,1044167512,11,15.4,30,5,20,0.2821888990001753
1DCA,0,270057318,9,15.4,23,5,20,0.28353138199963723
1DCA,0,241472590,12,12.6,15,5,20,0.2321287740014668
1DCA,0,3860545106,8,9.2,10,5,20,0.18378945299991756
1DCA,0,1641186199,9,11.8,17,5,20,0.23010081800020998
1DCA,0,229076210,13,22.6,34,5,20,0.46332442600032664
1DCA,0,3909252296,10,10.4,11,5,20,0.20465825999781373
1DCA,0,1210077725,9,11.4,18,5,20,0.2806146170005377
1DCA,1,2523490710,24,36.8,79,5,20,0.7787797290002345
1DCA,1,18290559,134,151.6,208,5,20,3.6674483669994515
1DCA,1,2523490710,26,30.4,47,5,20,0.5495515239999804
1DCA,1,18290559,138,175.4,262,5,20,3.176075557999866
1DCA,1,2523490710,24,46.8,132,5,20,0.8481216139989556
1DCA,1,18290559,130,150.2,202,5,20,2.737516892997519
1DCA,1,2523490710,25,34.2,70,5,20,0.6332497380026325
1DCA,1,18290559,132,149.0,210,5,20,2.729732376999891
1DCA,1,2523490710,23,49.6,148,5,20,1.0290719520016864
1DCA,1,18290559,126,192.4,282,5,20,5.496339084998908
1DCA,2,18290559,127,137.4,147,5,20,2.590602840002248
1DCA,2,18290559,123,188.6,274,5,20,3.8130990550016577
1DCA,2,18290559,133,137.8,142,5,20,2.4971459039988986
1DCA,2,18290559,131,138.2,145,5,20,2.4851769619999686
1DCA,2,18290559,130,161.6,208,5,20,2.943681561999256
1DCA,2,18289471,133,230.6,290,5,20,4.153134120002505
1DCA,2,18683775,134,187.6,320,5,20,3.380281601999741
1DCA,2,18290047,130,199.8,336,5,20,3.6002177629998187
1DCA,2,18290303,132,137.2,141,5,20,2.483756800997071
1DCA,2,18290550,8,10.0,12,5,20,0.1798074420003104
1DCA,3,18290047,131,176.0,281,5,20,3.185966808003286
1DCA,3,18289471,127,146.6,197,5,20,2.653733342001942
1DCA,3,22483838,9,9.6,10,5,20,0.17283017299996573
1DCA,3,18290047,135,157.4,207,5,20,2.852883355000813
1DCA,3,18223999,9,9.8,10,5,20,0.17682500800219714
1DCA,3,1092031807,9,11.6,20,5,20,0.21282472000166308
1DCA,3,18290047,127,161.0,203,5,20,2.9128522360006173
1DCA,3,18289471,127,207.6,373,5,20,3.7612076660007006
1DCA,3,18290047,132,146.0,172,5,20,2.632778508002957
1DCA,3,18289471,134,177.6,272,5,20,3.209686492999026
1DCA,4,18289471,135,188.2,338,5,20,3.3759172830032185
1DCA,4,18289471,129,148.2,194,5,20,2.6577301469988015
1DCA,4,18158351,129,136.8,144,5,20,2.4542578250002407
1DCA,4,286724927,12,17.6,32,5,20,0.31392355199932354
1DCA,4,18305599,135,192.4,269,5,20,4.092932561998168
1DCA,4,18289463,11,12.2,14,5,20,0.39585517500017886
1DCA,4,9900855,9,10.2,12,5,20,0.3237178190029226
1DCA,4,18289470,10,14.2,24,5,20,0.46000956399802817
1DCA,4,18289471,129,149.4,193,5,20,4.071157559999847
1DCA,4,35066687,9,13.6,20,5,20,0.353738166999392
1DCA,5,18289471,137,186.6,267,5,20,4.403108958002122
1DCA,5,18305599,131,203.4,358,5,20,4.208467582000594
1DCA,5,18338367,9,14.6,22,5,20,0.2881447219988331
1DCA,5,18158399,141,256.8,365,5,20,4.8047852009985945
1DCA,5,18305599,136,191.6,272,5,20,3.428148032999161
1DCA,5,51844927,136,205.4,349,5,20,3.6900016869985848
1DCA,5,18289471,130,247.4,356,5,20,4.445137312002771
1DCA,5,18305599,131,174.4,261,5,20,3.1244885539999814
1DCA,5,32969519,123,193.0,366,5,20,3.52583937700183
1DCA,5,1226265151,9,10.4,12,5,20,0.1861227500012319
1DCA,6,18289471,128,144.0,194,5,20,2.627617733000079
1DCA,6,18158399,136,142.6,149,5,20,2.568680767999467
1DCA,6,555045690,8,9.2,10,5,20,0.16681433299891069
1DCA,6,18289471,131,148.6,199,5,20,2.6773142439997173
1DCA,6,18289471,122,147.0,210,5,20,2.6528139219990408
1DCA,6,18158399,136,155.2,208,5,20,2.8041352379987075
1DCA,6,18289471,132,141.4,165,5,20,2.5466358619996754
1DCA,6,18160423,10,15.2,28,5,20,0.27606660799938254
1DCA,6,1520447,9,10.0,12,5,20,0.18032717299865908
1DCA,6,2165379998,9,10.6,11,5,20,0.1909188970021205
1DCA,7,18289471,132,164.4,205,5,20,2.9775299770008132
1DCA,7,18158399,136,179.2,279,5,20,3.243755378996866
1DCA,7,18158391,11,18.6,29,5,20,0.33899059200120973
1DCA,7,20255295,139,142.2,145,5,20,2.5932923590007704
1DCA,7,18289471,130,165.6,289,5,20,2.9692651110017323
1DCA,7,18158399,141,245.8,378,5,20,4.455754522998177
1DCA,7,26678079,137,163.0,198,5,20,2.934177663999435
1DCA,7,18617151,9,10.6,14,5,20,0.1919786149992433
1DCA,7,20387642,9,12.8,20,5,20,0.234690989000228
1DCA,7,18158399,133,151.2,198,5,20,2.724855750999268
1DCA,8,18158399,134,165.6,271,5,20,3.00111134799954
1DCA,8,18158399,139,153.0,194,5,20,2.7706087669976114
1DCA,8,18158527,10,14.4,23,5,20,0.2623147680023976
1DCA,8,18166591,133,166.8,211,5,20,3.009081314001378
1DCA,8,18682687,142,184.0,269,5,20,3.313668836002762
1DCA,8,1077220159,9,22.8,54,5,20,0.41029339599845116
1DCA,8,18158367,132,173.0,302,5,20,3.1830313460013713
1DCA,8,22352703,145,225.6,301,5,20,4.467352880998078
1DCA,8,1091834687,16,24.6,31,5,20,0.4444826870021643
1DCA,8,18158399,135,141.2,145,5,20,2.5776063470002555
1DCA,9,18682687,138,199.2,287,5,20,3.616363347002334
1DCA,9,22352703,137,141.2,144,5,20,2.5725335460010683
1DCA,9,31265727,10,17.6,29,5,20,0.31554180899911444
1DCA,9,52237119,132,150.0,206,5,20,3.123692597000627
1DCA,9,18682687,138,226.0,365,5,20,4.0886339229982696
1DCA,9,22352703,138,241.0,365,5,20,4.371317494998948
1DCA,9,18551615,131,208.8,285,5,20,6.349359334002656
1DCA,9,290787647,13,14.6,15,5,20,0.3800263619996258
1DCA,9,18682671,139,169.2,278,5,20,4.091982819001714
1DCA,9,22352702,9,10.4,16,5,20,0.23836522700003115
