model,generation,min,avg,max,ca_size,time
NX,0,22,33.4,61,20,0.6881348620008794
NX,0,16,20.6,25,20,0.4041758220009797
NX,0,21,38.6,47,20,0.7535613180007203
NX,0,18,22.8,31,20,0.44300700099847745
NX,0,18,26.0,50,20,0.5006824299998698
NX,0,20,28.6,51,20,0.56259024999963
NX,0,18,36.4,59,20,0.7212550889998965
NX,0,22,25.8,30,20,0.5416017749994353
NX,0,19,28.2,51,20,0.5941856429999461
NX,0,19,37.6,62,20,0.751133141999162
NX,1,19,24.4,42,20,0.4905982929994934
NX,1,19,30.0,46,20,0.5986117829997966
NX,1,19,20.0,21,20,0.39766640000016196
NX,1,18,25.6,45,20,0.5211396009981399
NX,1,22,30.8,45,20,0.6453545250005845
NX,1,23,77.4,130,20,1.8306217820027086
NX,1,20,62.4,126,20,1.6348378699985915
NX,1,22,37.8,99,20,0.7499789680005051
NX,1,22,57.0,123,20,1.1133813190026558
NX,1,17,42.6,132,20,0.8417162439982349
NX,2,21,37.4,58,20,0.7559451689994603
NX,2,24,39.8,65,20,0.8091653550000046
NX,2,24,40.6,62,20,0.8876415289996658
NX,2,24,28.2,30,20,0.5626881499993033
NX,2,27,45.2,59,20,0.8983930859976681
NX,2,23,34.2,65,20,0.6869190469988098
NX,2,24,31.0,54,20,0.6377417679977953
NX,2,22,30.8,57,20,0.6176779150009679
NX,2,22,29.8,52,20,0.6609997600025963
NX,2,22,31.6,52,20,1.118512950000877
NX,3,23,52.6,111,20,1.2308782910004084
NX,3,28,82.8,127,20,1.6667417570024554
NX,3,25,28.4,34,20,0.5989579589986533
NX,3,23,87.2,134,20,1.7837219419998291
NX,3,27,94.6,136,20,1.8635276750028424
NX,3,28,80.2,126,20,1.5819512470006885
NX,3,25,95.4,140,20,1.8758180900003936
NX,3,29,101.0,150,20,2.4940731000024243
NX,3,28,61.8,121,20,1.2189090789979673
NX,3,32,95.8,136,20,1.8805992660018092
NX,4,130,323.8,857,20,6.391297461999784
NX,4,131,261.0,422,20,5.179677963998984
NX,4,133,223.4,317,20,4.5644940069978475
NX,4,122,235.2,406,20,4.738135481999052
NX,4,124,201.2,251,20,4.14405848000024
NX,4,116,214.4,331,20,4.3012238450028235
NX,4,134,227.8,402,20,4.719589077001729
NX,4,141,253.8,418,20,5.493226315000356
NX,4,130,172.0,224,20,3.6971504080029263
NX,4,137,203.6,388,20,4.64106434399946
NX,5,112,124.6,135,20,2.6665698739998334
NX,5,117,129.8,167,20,2.7244035669973528
NX,5,122,152.8,262,20,3.0460590069997124
NX,5,119,123.2,135,20,2.5683081849965674
NX,5,118,125.4,134,20,4.320859579998796
NX,5,116,122.6,133,20,6.0919236179979634
NX,5,111,150.6,272,20,5.529184582002927
NX,5,114,118.8,129,20,3.2632426420022966
NX,5,116,122.8,129,20,3.37902913400103
NX,5,117,125.4,134,20,2.942382313998678
NX,6,23,56.2,108,20,1.2215279970005213
NX,6,24,50.4,109,20,1.0894384489984077
NX,6,25,62.4,98,20,1.3476229129992134
NX,6,22,43.8,85,20,0.9405001570012246
NX,6,31,82.4,176,20,1.7918420950009022
NX,6,23,45.8,66,20,1.0040361690007558
NX,6,28,58.8,69,20,1.2894397429990931
NX,6,29,76.6,123,20,1.5168727970012696
NX,6,25,54.0,106,20,1.1349050089993398
NX,6,23,38.6,91,20,0.8340369369980181
NX,7,19,21.2,23,20,0.42224347199953627
NX,7,22,26.2,31,20,0.552744717002497
NX,7,22,24.6,28,20,0.4885932099969068
NX,7,20,24.2,27,20,0.4776111010032764
NX,7,18,23.4,28,20,0.4700657869980205
NX,7,24,25.2,27,20,0.5033560299998499
NX,7,21,30.0,59,20,0.603398693001509
NX,7,20,31.2,64,20,0.6385940170002868
NX,7,23,32.4,59,20,0.6609965550014749
NX,7,23,28.6,35,20,0.6023669309979596
NX,8,20,33.4,68,20,0.7100775729995803
NX,8,23,27.0,30,20,0.556204954002169
NX,8,24,27.4,33,20,0.5540224739997939
NX,8,22,25.6,33,20,0.508743061000132
NX,8,23,24.2,26,20,0.4848009449997335
NX,8,23,32.8,64,20,0.6560277550015599
NX,8,22,26.4,29,20,0.5226812190012424
NX,8,23,33.8,65,20,0.6645070119993761
NX,8,25,26.8,29,20,0.5312056619986834
NX,8,24,26.0,32,20,0.5126545640014228
NX,9,22,26.6,30,20,0.5312644660007209
NX,9,28,36.8,61,20,0.7797757839980477
NX,9,20,26.4,35,20,0.5221656190005888
NX,9,25,47.6,72,20,0.9460053770017112
NX,9,22,25.4,29,20,0.5041533090006851
NX,9,24,26.8,30,20,0.5311256239983777
NX,9,24,27.4,30,20,0.544400984999811
NX,9,24,27.4,31,20,0.541772240998398
NX,9,27,30.8,36,20,0.6111469470015436
NX,9,24,26.8,29,20,0.5301635840005474
