model,generation,min,avg,max,ca_size,time
2DCA,0,132,137.6,143,20,4.155172117999882
2DCA,0,9,20.2,51,20,0.6842900980000195
2DCA,0,11,15.2,21,20,0.5253927750000003
2DCA,0,10,13.4,23,20,0.49906025400014187
2DCA,0,13,32.8,97,20,1.1760751080000773
2DCA,0,12,19.0,30,20,0.7012776299998222
2DCA,0,10,14.8,20,20,0.5816928270000972
2DCA,0,10,11.6,13,20,0.47242868199964505
2DCA,0,15,17.4,19,20,0.7288138809999509
2DCA,0,17,25.4,30,20,1.113357735000136
2DCA,1,119,128.8,138,20,3.7764362240000082
2DCA,1,115,126.2,139,20,2.6106508829998347
2DCA,1,15,47.8,87,20,1.0035690610002348
2DCA,1,18,26.2,36,20,0.5407869549999305
2DCA,1,10,23.4,44,20,0.48742960399977164
2DCA,1,10,16.8,32,20,0.3487119889996393
2DCA,1,13,17.6,23,20,0.36534558800030936
2DCA,1,14,29.8,61,20,0.6545836219997909
2DCA,2,121,133.2,145,20,2.7310485440002594
2DCA,2,109,165.0,311,20,3.368226581000272
2DCA,2,113,119.2,132,20,2.42592094299971
2DCA,2,118,160.2,226,20,3.280641591999938
2DCA,2,13,30.0,63,20,0.6186472469998989
2DCA,2,10,13.0,19,20,0.27024723300019104
2DCA,2,16,40.0,89,20,0.8268624879997333
2DCA,2,18,28.6,39,20,0.5960909169998558
2DCA,3,109,206.8,302,20,4.190454807999686
2DCA,3,118,121.2,125,20,2.493106986999919
2DCA,3,117,135.0,170,20,2.7300850779997745
2DCA,3,117,128.4,133,20,2.6183127959998274
2DCA,3,119,124.2,131,20,2.51670409999997
2DCA,3,119,128.4,137,20,2.6143370969998614
2DCA,3,115,121.0,142,20,2.4474998720002077
2DCA,3,113,148.6,257,20,3.041064344000006
2DCA,4,54,111.0,135,20,2.2796216370002185
2DCA,4,118,135.6,161,20,2.791879504999997
2DCA,4,113,121.4,139,20,2.4708486949998587
2DCA,4,114,128.0,146,20,2.6232466209999075
2DCA,4,117,172.2,270,20,3.5320459909999045
2DCA,4,13,54.0,99,20,1.1080784630003109
2DCA,4,114,124.6,135,20,2.5596877559996756
2DCA,4,10,73.4,130,20,1.5113291099996786
2DCA,5,116,124.0,138,20,2.5346741680000378
2DCA,5,116,120.0,123,20,2.5028699580002467
2DCA,5,115,128.2,175,20,2.661096061999615
2DCA,5,112,121.6,132,20,2.5044653830000243
2DCA,5,113,131.2,145,20,2.683692173000054
2DCA,5,109,112.4,117,20,2.2994385239999247
2DCA,5,117,144.6,200,20,2.961894876000315
2DCA,5,15,26.6,42,20,0.5549344400001246
2DCA,6,120,129.4,134,20,2.66227055499985
2DCA,6,41,101.6,136,20,2.102882233999935
2DCA,6,114,127.8,140,20,2.6278749510001944
2DCA,6,57,112.8,140,20,2.3161728660002154
2DCA,6,112,128.4,172,20,2.620478388000265
2DCA,6,9,12.8,26,20,0.26033142999995107
2DCA,6,114,120.2,138,20,2.443493257999762
2DCA,6,119,138.2,195,20,2.846215587000188
2DCA,7,115,120.8,126,20,2.496923716999845
2DCA,7,22,99.0,149,20,2.0714084599999296
2DCA,7,112,126.2,138,20,2.5897541529998307
2DCA,7,117,147.2,240,20,3.0513021080000726
2DCA,7,116,119.8,123,20,2.445386067000072
2DCA,7,118,139.6,213,20,2.861873826000192
2DCA,7,117,125.2,140,20,2.5544035050002094
2DCA,7,116,121.6,132,20,2.4961914909999905
2DCA,8,116,168.4,348,20,3.484585163999782
2DCA,8,119,132.0,149,20,2.735614641000211
2DCA,8,118,145.0,239,20,2.9932961189997513
2DCA,8,117,129.8,141,20,2.67779875899987
2DCA,8,112,123.8,137,20,2.54504947300029
2DCA,8,114,124.4,135,20,2.5721641579998504
2DCA,8,112,123.4,142,20,2.5506123549998847
2DCA,8,115,126.2,137,20,2.5896122220001416
2DCA,9,128,189.2,280,20,3.905851572999836
2DCA,9,13,75.8,128,20,1.5710642180001742
2DCA,9,118,131.2,173,20,2.705781682000179
2DCA,9,124,144.6,160,20,2.9810555799999747
2DCA,9,123,146.4,203,20,3.009825120000187
2DCA,9,21,59.6,121,20,1.2247483420001117
2DCA,9,122,144.0,180,20,2.9643634629996995
2DCA,9,12,51.2,132,20,1.0525161959999423
